Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,3f94390840744f24936a90ee888fa3c4,Apresentação,2020-08-03 20:18:56.187000+00:00,2020-08-03 20:21:47.675000+00:00,,156.4,0.7224,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,ebd427e5d1704bbdbcdaee02b67bf4ce,Ferramentas,2020-08-03 20:21:53.372000+00:00,2020-08-03 20:23:50.862000+00:00,,116.9,0.4476,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,3f94390840744f24936a90ee888fa3c4,Apresentação,2020-08-03 20:24:07.812000+00:00,2020-08-03 20:24:44.503000+00:00,,26.7,0.0697,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,ebd427e5d1704bbdbcdaee02b67bf4ce,Ferramentas,2020-08-03 20:24:44.587000+00:00,2020-08-03 20:27:41.800000+00:00,,177.0,0.4085,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,4c4c2bbdd55b49af807d1d06e2f051f7,Jitsi - Videoconferência,2020-08-03 20:28:17.278000+00:00,2020-08-03 20:28:19.588000+00:00,,1.7,0.0000,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,1a8d681f324740c6adc176aa9219184b,Ferramentas - 1º Desafio,2020-08-03 20:29:22.512000+00:00,2020-08-03 20:29:51.670000+00:00,,26.5,0.0913,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,1a8d681f324740c6adc176aa9219184b,Ferramentas - 1º Desafio,2020-08-03 20:29:55.512000+00:00,2020-08-03 20:29:59.428000+00:00,,3.7,0.0060,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,3f94390840744f24936a90ee888fa3c4,Apresentação,2020-08-03 21:17:52.406000+00:00,2020-08-03 21:18:37.608000+00:00,,42.2,0.0000,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,ebd427e5d1704bbdbcdaee02b67bf4ce,Ferramentas,2020-08-03 21:18:38.786000+00:00,2020-08-03 21:18:42.070000+00:00,,2.8,0.0000,video
Associação PiPA,TiagoAlmeida,a1f8ee3a33d94f86888a4c88164d3528,Treinamento,a2ea14a5aaaf4db1ba85df3af1ae19d6,,2020-08-03 21:18:42.207000+00:00,2020-08-03 21:18:42.207000+00:00,,0.0,0.0000,document
